,Institute ID,Name,City,State,Score,Rank
107,IR-E-U-0613,National Institute of Technology ManipurMore Details |,Imphal,Manipur,39.32,108
108,IR-E-C-36926,Kumaraguru College of TechnologyMore Details |,Coimbatore,Tamil Nadu,39.32,108
109,IR-E-C-43708,"College of Engineering, TrivandrumMore Details |",Thiruvananthapuram,Kerala,39.24,110
110,IR-E-U-0367,Veer Surendra Sai University of TechnologyMore Details |,Burla,Odisha,39.14,111
111,IR-E-U-0795,Indian Institute of Information Technology GuwahatiMore Details |,Guwahati,Assam,39.09,112
112,IR-E-C-19667,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and TechnologyMore Details |,Hyderabad,Telangana,39.04,113
113,IR-E-U-0155,"Amity University Haryana, GurgaonMore Details |","Gurugram, Haryana",Haryana,38.87,114
114,IR-E-U-0223,"Jain University, BangaloreMore Details |",Bengluru,Karnataka,38.55,115
115,IR-E-U-0938,Dr. Vishwanath Karad MIT World Peace UniversityMore Details |,Pune,Maharashtra,38.51,116
116,IR-E-C-27616,University College of EngineeringMore Details |,Hyderabad,Telangana,38.49,117
117,IR-E-C-37065,Kongu Engineering CollegeMore Details |,Perundurai,Tamil Nadu,38.31,118
118,IR-E-C-33641,"Veermata Jijabai Technological Institute (VJTI, Mumbai)More Details |",Mumbai,Maharashtra,38.29,119
119,IR-E-U-0507,Dayalbagh Educational InstituteMore Details |,Agra,Uttar Pradesh,38.26,120
120,IR-E-C-1371,New Horizon College of EngineeringMore Details |,Bengaluru,Karnataka,38.18,121
121,IR-E-C-37064,Sri Krishna College of TechnologyMore Details |,Coimbatore,Tamil Nadu,38.14,122
122,IR-E-U-0056,Tezpur UniversityMore Details |,Tezpur,Assam,38.12,123
123,IR-E-C-50605,PSG Institute of Technology and Applied ResearchMore Details |,Coimbatore,Tamil Nadu,38.04,124
124,IR-E-U-0146,Nirma UniversityMore Details |,Ahmedabad,Gujarat,38.01,125
125,IR-E-U-0190,Shoolini University of Biotechnology and Management SciencesMore Details |,Solan,Himachal Pradesh,38.01,125
126,IR-E-S-8898,"National Institute of Food Technology, Enterprenurship & ManagementMore Details |",Sonipat,Haryana,37.96,127
127,IR-E-U-0189,"National Institute of Technology, HamirpurMore Details |",Hamirpur,Himachal Pradesh,37.91,128
128,IR-E-U-0015,Jawaharlal Nehru Technological UniversityMore Details |,Kakinada,Andhra Pradesh,37.79,129
129,IR-E-C-27058,Mepco Schlenk Engineering CollegeMore Details |,Sivakasi,Tamil Nadu,37.79,129
130,IR-E-C-35417,Bharati Vidyapeeth Deemed University College of EngineeringMore Details |,Pune,Maharashtra,37.75,131
131,IR-E-U-0616,National Institute of Technology UttarakhandMore Details |,Srinagar (Garhwal),Uttarakhand,37.75,131
132,IR-E-U-0388,"Amity University, JaipurMore Details |",Jaipur,Rajasthan,37.65,133
133,IR-E-U-0130,Dhirubhai Ambani Institute of Information and Communication TechnologyMore Details |,Gandhinagar,Gujarat,37.64,134
134,IR-E-N-10,SVKM`s Narsee Monjee Institute of Management StudiesMore Details |,Mumbai,Maharashtra,37.58,135
135,IR-E-U-0621,National Institute of Technology PuducherryMore Details |,Karaikal,Pondicherry,37.49,136
136,IR-E-C-1345,"P E S College of Engineering, MandyaMore Details |",Mandya,Karnataka,37.4,137
137,IR-E-U-0186,Jaypee University of Information TechnologyMore Details |,Solan,Himachal Pradesh,37.39,138
138,IR-E-C-10342,Chandigarh Engineering CollegeMore Details |,Sahibzada Ajit Singh Nagar,Punjab,37.37,139
139,IR-E-C-19747,Anurag UniversityMore Details |,Hyderabad,Telangana,37.33,140
140,IR-E-C-18010,Velagapudi Ramakrishna Siddhartha Engineering CollegeMore Details |,Vijayawada,Andhra Pradesh,37.3,141
141,IR-E-I-1015,Vishwakarma Institute of TechnologyMore Details |,Pune,Maharashtra,37.28,142
142,IR-E-U-0175,"J. C. Bose University of Science and Technology, YMCAMore Details |",Faridabad,Haryana,37.27,143
143,IR-E-U-0373,Chitkara UniversityMore Details |,Rajpura,Punjab,37.24,144
144,IR-E-I-1093,Noida Institute of Engineering & TechnologyMore Details |,Greater Noida,Uttar Pradesh,37.2,145
145,IR-E-C-18886,Shri Ramdeobaba College of Engineering and ManagementMore Details |,Nagpur,Maharashtra,37.02,146
146,IR-E-U-0643,Galgotias UniversityMore Details |,Gautam Budh Nagar,Uttar Pradesh,36.89,147
147,IR-E-C-19534,Goka Raju Ranga Raju Institute of Engineering & TechnologyMore Details |,Hyderabad,Telangana,36.79,148
148,IR-E-U-0143,Maharaja Sayajirao University of BarodaMore Details |,Vadodara,Gujarat,36.78,149
149,IR-E-C-6581,Pondicherry Engineering CollegeMore Details |,Puducherry,Pondicherry,36.77,150
150,IR-E-C-43264,"National Institute of Advanced Manufacturing Technology, RanchiMore Details |",Ranchi,Jharkhand,36.77,150
151,IR-E-U-0454,Hindustan Institute of Technology and Science (HITS)More Details |,Chennai,Tamil Nadu,36.71,152
152,IR-E-U-0604,"Amity University, GwaliorMore Details |",Gwalior,Madhya Pradesh,36.49,153
153,IR-E-C-16614,R.M.K. Engineering CollegeMore Details |,Thiruvallur,Tamil Nadu,36.46,154
154,IR-E-U-1119,Mahindra UniversityMore Details |,Hyderabad,Telangana,36.46,154
155,IR-E-I-1441,Saveetha Institute of Medical and Technical SciencesMore Details |,Chennai,Tamil Nadu,36.44,156
156,IR-E-C-16547,Sri Sairam Engineering CollegeMore Details |,Kancheepuram,Tamil Nadu,36.41,157
157,IR-E-C-1412,JSS Science and Technology University More Details |,Mysuru,Karnataka,36.36,158
158,IR-E-U-0491,Vels Institute of Science Technology & Advanced Studies (VISTAS) -ChennaiMore Details |,Chennai,Tamil Nadu,36.35,159
159,IR-E-C-36975,Government College of TechnologyMore Details |,Coimbatore,Tamil Nadu,36.22,160
160,IR-E-C-30153,"Silicon Institute of Technology (SIT), BhubaneswarMore Details |",Bhubaneswar,Odisha,36.19,161
161,IR-E-C-19650,Vardhaman College of EngineeringMore Details |,Rangareddy,Telangana,36.15,162
162,IR-E-C-18817,"G. H. Raisoni College of Engineering, NagpurMore Details |",Nagpur,Maharashtra,36.12,163
163,IR-E-U-0541,Sharda UniversityMore Details |,Greater Noida,Uttar Pradesh,36.1,164
164,IR-E-C-26929,Sree Vidyanikethan Engineering CollegeMore Details |,Tirupati,Andhra Pradesh,36.08,165
165,IR-E-C-25622,Chaitanya Bharathi Institute of TechnologyMore Details |,Hyderabad,Telangana,35.84,166
166,IR-E-C-33773,Bharatiya Vidya Bhavan`s Sardar Patel Institute of TechnologyMore Details |,Mumbai,Maharashtra,35.62,167
167,IR-E-I-1356,Rabindranath Tagore UniversityMore Details |,Raisen,Madhya Pradesh,35.62,167
168,IR-E-C-27089,National Engineering CollegeMore Details |,Kovilpatti,Tamil Nadu,35.58,169
169,IR-E-C-19607,CVR College of EngineeringMore Details |,Ibrahimpatan,Telangana,35.51,170
170,IR-E-U-0615,National Institute of Technology Arunachal PradeshMore Details |,Itanagar,Arunachal Pradesh,35.49,171
171,IR-E-C-42054,Army Institute of TechnologyMore Details |,Pune,Maharashtra,35.38,172
172,IR-E-U-0614,National Institute of Technology SikkimMore Details |,South Sikkim,Sikkim,35.33,173
173,IR-E-C-37028,Sona College of TechnologyMore Details |,Salem,Tamil Nadu,35.29,174
174,IR-E-C-1400,NMAM Institute of TechnologyMore Details |,"Nitte, Udupi",Karnataka,35.27,175
175,IR-E-C-16576,Chennai Institute of TechnologyMore Details |,Chennai,Tamil Nadu,35.27,175
176,IR-E-U-0685,Indira Gandhi Delhi Technical University for WomenMore Details |,Delhi,Delhi,35.23,177
177,IR-E-U-0384,Sant Longowal Institute of Engineering & TechnologyMore Details |,Longowal,Punjab,35.2,178
178,IR-E-U-0774,DIT UniversityMore Details |,Dehradun,Uttarakhand,35.14,179
179,IR-E-C-1406,C M R Institute of TechnologyMore Details |,Bengaluru,Karnataka,35.11,180
180,IR-E-C-16560,Easwari Engineering CollegeMore Details |,Chennai,Tamil Nadu,35.07,181
181,IR-E-U-0535,Rajiv Gandhi Institute of Petroleum TechnologyMore Details |,Amethi,Uttar Pradesh,34.99,182
182,IR-E-C-1352,Nitte Meenakshi Institute of TechnologyMore Details |,Bengaluru,Karnataka,34.97,183
183,IR-E-U-0455,"Indian Institute of Information Technology, Design & Manufacturing, KancheepuramMore Details |",Chennai,Tamil Nadu,34.93,184
184,IR-E-C-18254,Yeshwantrao Chavan College of EngineeringMore Details |,Nagpur,Maharashtra,34.88,185
185,IR-E-U-0513,G. L. A. UniversityMore Details |,Mathura,Uttar Pradesh,34.74,186
186,IR-E-C-46111,KIET Group of InstitutionsMore Details |,Ghaziabad,Uttar Pradesh,34.73,187
187,IR-E-C-17958,GMR Institute of TechnologyMore Details |,Rajam,Andhra Pradesh,34.71,188
188,IR-E-U-0217,Christ UniversityMore Details |,Bengaluru,Karnataka,34.64,189
189,IR-E-U-0765,Institute of Infrastructure Technology Research and Management (IITRAM)More Details |,Ahmedabad,Gujarat,34.41,190
190,IR-E-U-0168,Maharishi MarkandeshwarMore Details |,Ambala,Haryana,34.37,191
191,IR-E-N-13,Galgotias College of Engineering & TechnologyMore Details |,Greater Noida,Uttar Pradesh,34.29,192
192,IR-E-C-42227,Dr. D. Y. Patil Institute of TechnologyMore Details |,Pune,Maharashtra,34.1,193
193,IR-E-U-0622,National Institute of Technology DelhiMore Details |,Delhi,Delhi,33.96,194
194,IR-E-C-46239,G. L. Bajaj Institute of Technology and ManagementMore Details |,Greater Noida,Uttar Pradesh,33.95,195
195,IR-E-U-0854,KLE Technological UniversityMore Details |,Dharwad,Karnataka,33.9,196
196,IR-E-C-33777,Shri Vile Parle Kelavani Mandal`s Dwarkadas J. Sanghvi College of EngineeringMore Details |,Mumbai Suburban,Maharashtra,33.88,197
197,IR-E-C-16504,Sri Venkateswara College of Engineering and TechnologyMore Details |,Chittoor,Andhra Pradesh,33.77,198
198,IR-E-C-1336,BMS Institute of Technology & ManagementMore Details |,Bengaluru,Karnataka,33.76,199
199,IR-E-C-19582,Vidya Jyothi Institute of TechnologyMore Details |,Hyderabad,Telangana,33.7,200
